Network,Metric,Value
Marvel,Hub_Stability,1.0
Marvel,Hub_Stability,0.9047619047619048
Marvel,Hub_Stability,1.0
Marvel,Hub_Stability,1.0
Marvel,Hub_Stability,1.0
Marvel,Hub_Stability,0.9047619047619048
Marvel,Hub_Stability,0.9047619047619048
Marvel,Hub_Stability,1.0
Marvel,Hub_Stability,0.9047619047619048
Marvel,Hub_Stability,1.0
Marvel,Community_Stability,0.6557292362036015
Marvel,Community_Stability,0.6201436142673632
Marvel,Community_Stability,0.5801293946702767
Marvel,Community_Stability,0.7130576497755325
Marvel,Community_Stability,0.6307700657369699
Marvel,Community_Stability,0.6117963281391775
Marvel,Community_Stability,0.6264652853220841
Marvel,Community_Stability,0.6777959021176108
Marvel,Community_Stability,0.5420968528007126
Marvel,Community_Stability,0.6542171429666082
StarWars,Hub_Stability,0.9047619047619048
StarWars,Hub_Stability,1.0
StarWars,Hub_Stability,1.0
StarWars,Hub_Stability,1.0
StarWars,Hub_Stability,0.9047619047619048
StarWars,Hub_Stability,1.0
StarWars,Hub_Stability,0.9047619047619048
StarWars,Hub_Stability,0.9047619047619048
StarWars,Hub_Stability,0.9047619047619048
StarWars,Hub_Stability,1.0
StarWars,Community_Stability,0.34115051202006785
StarWars,Community_Stability,0.44417190858619826
StarWars,Community_Stability,0.5408636888673838
StarWars,Community_Stability,0.4040492083632151
StarWars,Community_Stability,0.6046302962823585
StarWars,Community_Stability,0.43329989969909727
StarWars,Community_Stability,0.4765631264888323
StarWars,Community_Stability,0.3442805551655099
StarWars,Community_Stability,0.3993727062967176
StarWars,Community_Stability,0.3438866707664645
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Community_Stability,0.2472586068337395
US_Election,Community_Stability,0.17283671095553546
US_Election,Community_Stability,0.2322924865638212
US_Election,Community_Stability,0.2411523382051742
US_Election,Community_Stability,0.2482319430429782
US_Election,Community_Stability,0.27122357517614826
US_Election,Community_Stability,0.25913161948626007
US_Election,Community_Stability,0.28639376338746614
US_Election,Community_Stability,0.23654472587441802
US_Election,Community_Stability,0.258558416197434
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Community_Stability,0.12743608218045
AU_Election,Community_Stability,0.08625044852220681
AU_Election,Community_Stability,0.11809411737443437
AU_Election,Community_Stability,0.14666888998596475
AU_Election,Community_Stability,0.09897565885782166
AU_Election,Community_Stability,0.1543402512135123
AU_Election,Community_Stability,0.1339021690680325
AU_Election,Community_Stability,0.162142954341992
AU_Election,Community_Stability,0.12320338112611627
AU_Election,Community_Stability,0.10621470634566121
