Network,Node,Degree,PageRank,Betweenness,Community,Label
Marvel,"LITTLE, ABNER",22,8.287843086768344e-05,1.2892847276664318e-06,0,Regular
Marvel,PRINCESS ZANDA,11,5.065222120205808e-05,0.0,0,Regular
Marvel,BLACK PANTHER/T'CHAL,711,0.0017492840805466373,0.007258196505586945,1,Top Node
Marvel,"STEELE, SIMON/WOLFGA",9,5.11632719971182e-05,9.291376419604217e-07,1,Regular
Marvel,"FORTUNE, DOMINIC",15,6.643606638778067e-05,2.1739587533884896e-06,1,Regular
Marvel,"ERWIN, CLYTEMNESTRA",61,0.00017079471625331113,4.040750222199408e-05,0,Regular
Marvel,IRON MAN/TONY STARK ,1522,0.004109121437860457,0.05207961213812991,0,Top Node
Marvel,IRON MAN IV/JAMES R.,465,0.001307160249694467,0.010185434746082701,0,Regular
Marvel,"RAVEN, SABBATH II/EL",11,5.628862862684557e-05,9.81026392479309e-07,1,Regular
Marvel,CARNIVORE/COUNT ANDR,45,0.0001345859551655273,1.9030312375145325e-05,0,Regular
Marvel,GHOST,35,0.00011104646984708461,6.452948212806728e-06,0,Regular
Marvel,"ZIMMER, ABE",72,0.000212912898360936,0.00015172759527128676,0,Regular
Marvel,FU MANCHU,42,0.00015780500204095376,6.97316557765794e-05,2,Regular
Marvel,"TARR, BLACK JACK",30,0.00013683438420403297,4.917641291792179e-05,2,Regular
Marvel,"SMITH, SIR DENIS NAY",28,0.00012607520007764175,3.972234346225427e-05,2,Regular
Marvel,SHANG-CHI,127,0.0004519793762028346,0.0016130713086929807,2,Regular
Marvel,STARSHINE II/BRANDY ,166,0.0005490690677683178,0.013074198444867513,3,Regular
Marvel,"ROM, SPACEKNIGHT",241,0.0006990154301251199,0.0024931171516798262,2,Regular
Marvel,MAN-THING/THEODORE T,188,0.0005542538533535195,0.0011341408139154548,2,Regular
Marvel,"WU, LEIKO",44,0.00015591375045788313,0.00011856308425809614,2,Regular
Marvel,DOCTOR DREDD,14,6.339785771627972e-05,7.517357880443295e-07,2,Regular
Marvel,"RESTON, CLIVE",32,0.00013726447115498707,5.9963553028925695e-05,2,Regular
Marvel,"JACKSON, STEVE",71,0.0002326261369381337,0.00024093769374128706,3,Regular
Marvel,MYSTIQUE/RAVEN DARKH,395,0.0009463750657386011,0.00164042824162301,5,Regular
Marvel,BLOB/FRED J. DUKES,423,0.0009914821258238194,0.0013657057723035152,5,Regular
Marvel,TORPEDO III/BROCK JO,224,0.0005372729181772547,0.0023555204688088037,2,Regular
Marvel,PYRO/ALLERDYCE JOHNN,298,0.0006946524629565493,0.0009164863621056729,5,Regular
Marvel,AVALANCHE/DOMINIC PE,277,0.0006466939008307422,0.0007391932528723281,5,Regular
Marvel,ROGUE /,831,0.0019536858794683854,0.004179663261990013,5,Top Node
